ETF代码,ETF名称,基金规模,next_crawl_index
159217,港股通创新药ETF工银,49.33907894,340
159570,港股通创新药ETF汇添富,240.61987534,340
520500,恒生创新药ETF华泰柏瑞,26.64382861,340
159316,港股通创新药ETF易方达,44.63824095,340
159567,港股创新药ETF银华,73.47819416,340
159707,地产ETF华宝,5.8594055,340
513120,港股创新药ETF广发,239.40780584,340
159286,港股通创新药ETF鹏华,5.42615138,340
513880,日经225ETF华安,26.6149473,340
159297,港股通创新药ETF南方,20.48224211,340
513000,日经225ETF易方达,22.06715542,340
516370,电力ETF汇添富,2.60911392,340
520930,恒生生物科技ETF国泰,1.10662249,340
513780,港股创新药ETF景顺,26.63880364,340
159506,港股通创新药医疗ETF富国,26.13049927,340
520690,港股创新药ETF博时,5.36933978,340
513520,日经ETF华夏,23.57265523,340
159748,创新药ETF富国,6.51462487,340
159105,恒生生物科技ETF易方达,1.50833666,340
513930,恒生生物科技ETF华泰柏瑞,0.68008912,340
561700,电力ETF博时,4.39878562,340
159158,电力ETF景顺,12.80482059,340
562350,电力ETF银华,1.37666635,340
513280,恒生生物科技ETF汇添富,4.25541977,340
159892,恒生医药ETF华夏,52.93292017,340
520880,港股通创新药ETF华宝,26.12443795,340
159615,恒生生物科技ETF南方,6.10749512,340
159768,房地产ETF银华,3.81116543,340
159611,电力ETF广发,90.40390734,340
520700,港股通创新药ETF万家,7.56904576,340
159866,日经ETF工银,12.37591414,340
561560,电力ETF华泰柏瑞,33.57841933,340
562960,绿色电力ETF易方达,15.42519816,340
159132,恒生生物科技ETF富国,0.80434134,340
512140,电力ETF华安,1.72431459,340
560580,电力ETF南方,4.71243937,340
560460,电力ETF平安,4.11901488,340
562550,绿电ETF华夏,20.88246307,340
560930,电力ETF易方达,2.2156508,340
520970,港股通创新药ETF嘉实,10.15355302,340
561170,绿色电力ETF富国,5.86268379,340
159557,恒生医疗ETF嘉实,2.29718811,340
562510,旅游ETF华夏,6.40770475,340
159102,港股通生物科技ETF华安,5.62943706,340
520760,恒生生物科技ETF摩根,1.81232634,340
560190,公用事业ETF鹏华,0.25996776,340
159146,电力ETF华宝,9.89249695,340
